id,cost,talktime,validity,short description,long description
8415,10,7.7,N.A,Recharge of Rs. 10 by Docomo,Talktime of Rs. 7.7 for Rs. 10 recharge by Tata DOCOMO
8416,20,15.39,N.A,Recharge of Rs. 20 by Docomo,Talktime of Rs. 15.39 for Rs. 20 recharge by Tata DOCOMO
8417,30,23.09,N.A,Recharge of Rs. 30 by Docomo,Talktime of Rs. 23.09 for Rs. 30 recharge by Tata DOCOMO
8418,40,31.78,N.A,Recharge of Rs. 40 by Docomo,Talktime of Rs. 31.78 for Rs. 40 recharge by Tata DOCOMO
8419,50,40.47,N.A,Recharge of Rs. 50 by Docomo,Talktime of Rs. 40.47 for Rs. 50 recharge by Tata DOCOMO
8420,60,49.18,N.A,Recharge of Rs. 60 by Docomo,Talktime of Rs. 49.18 for Rs. 60 recharge by Tata DOCOMO
8421,70,57.88,N.A,Recharge of Rs. 70 by Docomo,Talktime of Rs. 57.88 for Rs. 70 recharge by Tata DOCOMO
8423,80,66.56,N.A,Recharge of Rs. 80 by Docomo,Talktime of Rs. 66.56 for Rs. 80 recharge by Tata DOCOMO
8424,90,75.26,N.A,Recharge of Rs. 90 by Docomo,Talktime of Rs. 75.26 for Rs. 90 recharge by Tata DOCOMO
8425,100,83.97,N.A,Recharge of Rs. 100 by Docomo,Talktime of Rs. 83.97 for Rs. 100 recharge by Tata DOCOMO
8426,110,92.65,N.A,Recharge of Rs. 110 by Docomo,Talktime of Rs. 92.65 for Rs. 110 recharge by Tata DOCOMO
8427,120,115,N.A,Recharge of Rs. 120 by Docomo,Talktime of Rs. 115 for Rs. 120 recharge by Tata DOCOMO
